Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending)
009-000005323,322,9,Department of Health and Human Services,,,,,
009-000005323,322,9,Department of Health and Human Services,,,,30/01/2016,
009-000005323,322,9,Department of Health and Human Services,,,,,
009-000005323,322,9,Department of Health and Human Services,,,,,
009-000005323,322,9,Department of Health and Human Services,,,,,
009-000005323,322,9,Department of Health and Human Services,,,,,
009-000005323,322,9,Department of Health and Human Services,,,,,
024-000003127,323,24,Department of Homeland Security,,,,31/03/2017,
024-000003127,323,24,Department of Homeland Security,,,,20/04/2017,
024-000003127,323,24,Department of Homeland Security,,,,31/08/2019,
024-000003127,323,24,Department of Homeland Security,,,,27/12/2017,
024-000003127,323,24,Department of Homeland Security,,,,07/12/2018,
024-000003036,324,24,Department of Homeland Security,,,,25/09/2015,
024-000003036,324,24,Department of Homeland Security,,,,,
024-000003040,326,24,Department of Homeland Security,,,,,
024-000003029,327,24,Department of Homeland Security,,,,,
024-000003029,327,24,Department of Homeland Security,,,,,
024-000003029,327,24,Department of Homeland Security,,,,,
024-000003029,327,24,Department of Homeland Security,,,,,
024-000003029,327,24,Department of Homeland Security,,,,25/02/2016,
009-999991400,330,9,Department of Health and Human Services,,,,31/03/2016,
009-999991400,330,9,Department of Health and Human Services,,,,21/10/2015,
009-999990160,331,9,Department of Health and Human Services,,,,14/09/2016,
009-999990160,331,9,Department of Health and Human Services,,,,,
009-999990160,331,9,Department of Health and Human Services,,,,,
009-999990160,331,9,Department of Health and Human Services,,,,,
009-999990160,331,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000001397,332,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000000706,333,9,Department of Health and Human Services,,,,,
009-000001359,334,9,Department of Health and Human Services,,,,30/11/2015,
009-000001359,334,9,Department of Health and Human Services,,,,31/07/2015,
009-000001359,334,9,Department of Health and Human Services,,,,,
009-000001359,334,9,Department of Health and Human Services,,,,,
009-000001359,334,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,10/04/2016,
009-000006263,335,9,Department of Health and Human Services,,,,26/06/2017,
009-000006263,335,9,Department of Health and Human Services,,,,31/01/2017,
009-000006263,335,9,Department of Health and Human Services,,,,28/03/2019,
009-000006263,335,9,Department of Health and Human Services,,N,29/02/2016,05/02/2017,N
009-000006263,335,9,Department of Health and Human Services,,N,26/02/2016,31/03/2016,N
009-000006263,335,9,Department of Health and Human Services,,N,08/09/2015,07/09/2016,N
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,N,19/08/2015,19/09/2015,N
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,N,21/01/2015,30/12/2018,N
009-000006263,335,9,Department of Health and Human Services,,N,08/05/2015,08/05/2016,N
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,,N,19/08/2015,19/09/2015,N
009-000006263,335,9,Department of Health and Human Services,,N,05/01/2016,04/01/2017,N
009-000006263,335,9,Department of Health and Human Services,Firm Fixed Price,N,24/07/2013,28/07/2018,N
009-000006263,335,9,Department of Health and Human Services,,,,,
009-000006263,335,9,Department of Health and Human Services,Firm Fixed Price,N,30/08/2013,31/08/2017,N
009-000001362,336,9,Department of Health and Human Services,,,,30/06/2016,
009-000001362,336,9,Department of Health and Human Services,,,,30/04/2017,
009-000001362,336,9,Department of Health and Human Services,,,,31/08/2019,
009-000001362,336,9,Department of Health and Human Services,,,,31/07/2019,
009-000001362,336,9,Department of Health and Human Services,,N,07/01/2016,07/05/2016,N
009-000001362,336,9,Department of Health and Human Services,,N,08/04/2015,31/12/2015,N
009-000001362,336,9,Department of Health and Human Services,,N,30/12/2015,30/04/2016,N
009-000001362,336,9,Department of Health and Human Services,,N,08/03/2016,09/07/2016,N
009-000001362,336,9,Department of Health and Human Services,,N,03/03/2016,06/07/2016,N
009-000001362,336,9,Department of Health and Human Services,,N,29/09/2015,30/04/2016,N
009-000001362,336,9,Department of Health and Human Services,,N,28/01/2016,31/12/2016,N
009-000001408,337,9,Department of Health and Human Services,,,,31/07/2016,
009-000001408,337,9,Department of Health and Human Services,Firm Fixed Price,N,06/02/2015,31/07/2016,N
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000001405,339,9,Department of Health and Human Services,,,,22/02/2016,
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000001405,339,9,Department of Health and Human Services,Firm Fixed Price,N,23/03/2011,23/03/2016,N
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000001405,339,9,Department of Health and Human Services,,,,,
009-000000833,341,9,Department of Health and Human Services,,,,,
009-000000833,341,9,Department of Health and Human Services,,,,31/08/2016,
009-000001410,342,9,Department of Health and Human Services,,,,29/09/2020,
009-000001410,342,9,Department of Health and Human Services,,,,15/01/2016,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,21/10/2015,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001410,342,9,Department of Health and Human Services,,,,,
009-000001413,343,9,Department of Health and Human Services,,,,,
009-000001413,343,9,Department of Health and Human Services,,,,,
009-000001413,343,9,Department of Health and Human Services,,,,,
009-000001413,343,9,Department of Health and Human Services,,,,,
009-000001476,344,9,Department of Health and Human Services,,,,,
009-000001479,345,9,Department of Health and Human Services,,N,01/07/2015,30/06/2018,N
009-000003888,346,9,Department of Health and Human Services,,,,10/10/2015,
009-000003888,346,9,Department of Health and Human Services,,,,,
009-000003888,346,9,Department of Health and Human Services,,,,,
009-000003888,346,9,Department of Health and Human Services,,,,30/06/2015,
009-000003888,346,9,Department of Health and Human Services,,,,,
009-000003888,346,9,Department of Health and Human Services,,,,,
009-000003888,346,9,Department of Health and Human Services,,,,,
009-000004658,347,9,Department of Health and Human Services,,,,,
009-000004658,347,9,Department of Health and Human Services,,,,,
009-000004658,347,9,Department of Health and Human Services,,,,28/02/2015,
009-000004658,347,9,Department of Health and Human Services,,,,,
009-000004658,347,9,Department of Health and Human Services,,,,31/03/2015,
009-000006266,348,9,Department of Health and Human Services,,,,30/09/2016,
009-000006266,348,9,Department of Health and Human Services,,,,30/09/2016,
009-000001482,349,9,Department of Health and Human Services,,,,,
009-000001418,353,9,Department of Health and Human Services,,,,23/08/2015,
009-000006779,354,9,Department of Health and Human Services,,,,10/08/2014,
009-000001361,355,9,Department of Health and Human Services,,,,30/06/2017,
021-002703942,357,21,Department of Transportation,,,,03/11/2015,
021-002703942,357,21,Department of Transportation,,,,,
021-147277724,359,21,Department of Transportation,,,,,
021-147277724,359,21,Department of Transportation,,,,,
021-147277724,359,21,Department of Transportation,,,,,
021-147277724,359,21,Department of Transportation,,,,,
021-089571105,361,21,Department of Transportation,,,,,
021-089571105,361,21,Department of Transportation,,,,11/10/2013,
021-089571105,361,21,Department of Transportation,,,,31/07/2017,
021-089571105,361,21,Department of Transportation,,,,17/05/2018,
021-089571105,361,21,Department of Transportation,,,,29/05/2015,
021-089571105,361,21,Department of Transportation,,,,30/09/2018,
021-089571105,361,21,Department of Transportation,,,,,
021-089571105,361,21,Department of Transportation,,,,31/01/2017,
021-089571105,361,21,Department of Transportation,,,,30/09/2015,
021-089571105,361,21,Department of Transportation,,,,30/09/2021,
021-006227212,363,21,Department of Transportation,Cost Plus Fixed Fee,N,05/04/2013,03/10/2013,U
021-006227212,363,21,Department of Transportation,Cost Plus Fixed Fee,N,09/12/2013,09/12/2013,U
021-006227212,363,21,Department of Transportation,Cost Plus Fixed Fee,N,05/04/2013,30/09/2013,U
021-006227212,363,21,Department of Transportation,,,,,
021-006227212,363,21,Department of Transportation,,,,,
021-006227212,363,21,Department of Transportation,,,,,
021-006227212,363,21,Department of Transportation,,,,,
021-006227212,363,21,Department of Transportation,,,,,
021-860081937,364,21,Department of Transportation,,,,31/12/2014,
021-623287423,366,21,Department of Transportation,,,,,
021-623287423,366,21,Department of Transportation,,,,,
021-623287423,366,21,Department of Transportation,,,,,
021-623287423,366,21,Department of Transportation,,,,28/10/2017,
021-514765477,368,21,Department of Transportation,,,,31/03/2020,
021-514765477,368,21,Department of Transportation,,,,28/12/2013,
021-514765477,368,21,Department of Transportation,,,,,
021-514765477,368,21,Department of Transportation,,,,,
021-514765477,368,21,Department of Transportation,,,,,
021-161006572,370,21,Department of Transportation,,,,,
021-161006572,370,21,Department of Transportation,,,,,
021-161006572,370,21,Department of Transportation,,,,,
021-613828465,371,21,Department of Transportation,,,,29/04/2020,
021-613828465,371,21,Department of Transportation,,,,,
021-613828465,371,21,Department of Transportation,,,,,
021-613828465,371,21,Department of Transportation,,,,,
021-826990043,373,21,Department of Transportation,,,,12/10/2020,
021-826990043,373,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,14/08/2021,
021-620588994,375,21,Department of Transportation,,,,22/04/2023,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,24/11/2016,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-620588994,375,21,Department of Transportation,,,,,
021-189475443,376,21,Department of Transportation,,,,,
021-189475443,376,21,Department of Transportation,,,,,
021-189475443,376,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-113910548,377,21,Department of Transportation,,,,,
021-130077684,379,21,Department of Transportation,,,,30/09/2029,
021-130077684,379,21,Department of Transportation,,,,31/03/2020,
021-130077684,379,21,Department of Transportation,,,,31/03/2020,
021-130077684,379,21,Department of Transportation,,,,31/03/2020,
021-391613792,380,21,Department of Transportation,,,,24/08/2027,
021-006081945,382,21,Department of Transportation,,,,07/07/2020,
021-006081945,382,21,Department of Transportation,,,,30/06/2016,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,15/07/2013,
021-006081945,382,21,Department of Transportation,,,,28/06/2013,
021-006081945,382,21,Department of Transportation,,,,03/10/2013,
021-006081945,382,21,Department of Transportation,,,,09/12/2013,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
021-006081945,382,21,Department of Transportation,,,,,
024-000005119,389,24,Department of Homeland Security,,,,30/12/2011,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2014,
024-000005119,389,24,Department of Homeland Security,,,,29/09/2013,
024-000005119,389,24,Department of Homeland Security,,,,15/06/2013,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2013,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2016,
024-000005119,389,24,Department of Homeland Security,,,,31/08/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/06/2013,
024-000005119,389,24,Department of Homeland Security,,,,23/09/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,12/12/2014,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2016,
024-000005119,389,24,Department of Homeland Security,,,,24/12/2014,
024-000005119,389,24,Department of Homeland Security,,,,24/02/2015,
024-000005119,389,24,Department of Homeland Security,,,,01/07/2015,
024-000005119,389,24,Department of Homeland Security,,,,23/09/2016,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,24/02/2016,
024-000005119,389,24,Department of Homeland Security,,,,24/02/2016,
024-000005119,389,24,Department of Homeland Security,,,,24/02/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/06/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/06/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/06/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/06/2016,
024-000005119,389,24,Department of Homeland Security,,,,24/07/2016,
024-000005119,389,24,Department of Homeland Security,,,,23/07/2016,
024-000005119,389,24,Department of Homeland Security,,,,23/07/2016,
024-000005119,389,24,Department of Homeland Security,,,,29/07/2016,
024-000005119,389,24,Department of Homeland Security,,,,08/09/2025,
024-000005119,389,24,Department of Homeland Security,,,,07/09/2025,
024-000005119,389,24,Department of Homeland Security,,,,31/03/2016,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,30/09/2015,
024-000005119,389,24,Department of Homeland Security,,,,24/09/2020,
024-000005119,389,24,Department of Homeland Security,,,,05/09/2016,
024-000005119,389,24,Department of Homeland Security,,,,17/01/2017,
024-000005119,389,24,Department of Homeland Security,,,,24/09/2025,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,,
024-000005119,389,24,Department of Homeland Security,,,,,
029-666666107,391,29,Department of Veterans Affairs,,,,14/07/2017,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,28/12/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,31/10/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,31/12/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,31/12/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,02/02/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,13/02/2017,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,15/10/2019,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,31/01/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,15/06/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,12/12/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,17/07/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,01/08/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,23/10/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,30/10/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,30/09/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,16/02/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,26/11/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,14/12/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,30/04/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,30/06/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,27/06/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,20/11/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,23/08/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,25/12/2017,
184-000000016,392,184,U.S. Agency for International Development,,,,29/06/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,31/12/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,07/06/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,02/08/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,16/11/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,08/01/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,28/09/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,28/09/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,30/11/2017,
184-000000016,392,184,U.S. Agency for International Development,,,,02/04/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,16/07/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,05/10/2015,
184-000000016,392,184,U.S. Agency for International Development,,,,30/09/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,30/05/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,31/12/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,25/06/2018,
184-000000016,392,184,U.S. Agency for International Development,,,,30/11/2019,
184-000000016,392,184,U.S. Agency for International Development,,,,28/02/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,15/09/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,30/04/2018,
184-000000016,392,184,U.S. Agency for International Development,,,,25/07/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,,
184-000000016,392,184,U.S. Agency for International Development,,,,12/07/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,09/08/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,31/12/2016,
184-000000016,392,184,U.S. Agency for International Development,,,,30/04/2018,
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,Y,22/09/2014,01/01/1970,U
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,22/07/2014,01/01/1970,U
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,,05/08/2014,15/04/2015,U
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,22/07/2014,01/01/1970,U
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,22/07/2014,01/01/1970,U
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,16/04/2010,15/04/2015,N
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,02/04/2014,15/04/2019,N
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,12/09/2014,24/03/2015,N
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,23/07/2012,22/07/2017,N
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,Firm Fixed Price,N,29/09/2014,04/02/2015,N
005-000000073,393,5,Department of Agriculture,,N,06/04/2011,,N
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000073,393,5,Department of Agriculture,,,,14/07/2016,
005-000000073,393,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,Order Dependent (IDV only),N,01/08/2013,01/01/1970,U
005-000000098,394,5,Department of Agriculture,Labor Hours,N,01/08/2013,01/01/1970,U
005-000000098,394,5,Department of Agriculture,Fixed Price with Economic Price Adjustment,N,11/09/2009,01/01/1970,U
005-000000098,394,5,Department of Agriculture,Firm Fixed Price,N,21/08/2009,01/01/1970,U
005-000000098,394,5,Department of Agriculture,Firm Fixed Price,N,16/09/2009,01/01/1970,U
005-000000098,394,5,Department of Agriculture,Order Dependent (IDV only),N,31/05/2012,01/01/1970,U
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,,
005-000000098,394,5,Department of Agriculture,,,,31/03/2016,
005-000000098,394,5,Department of Agriculture,,,,30/11/2015,
005-000000098,394,5,Department of Agriculture,,,,31/03/2016,
005-000000098,394,5,Department of Agriculture,Firm Fixed Price,N,15/09/2014,30/09/2016,N
005-000000098,394,5,Department of Agriculture,,,,,
020-000016005,395,20,Environmental Protection Agency,,,,30/09/2013,
020-000016005,395,20,Environmental Protection Agency,,,,,
020-000016005,395,20,Environmental Protection Agency,,,,30/04/2012,
020-000016026,398,20,Environmental Protection Agency,,,,30/09/2016,
020-000016026,398,20,Environmental Protection Agency,,,,31/12/2016,
020-000016026,398,20,Environmental Protection Agency,,,,02/01/2018,
020-000016026,398,20,Environmental Protection Agency,,,,,
020-000010126,401,20,Environmental Protection Agency,,,,,
020-000010126,401,20,Environmental Protection Agency,,,,,
020-000010126,401,20,Environmental Protection Agency,,,,30/06/2018,
020-000010126,401,20,Environmental Protection Agency,,,,15/03/2020,
020-000010126,401,20,Environmental Protection Agency,,,,14/06/2018,
020-000010126,401,20,Environmental Protection Agency,Cost Plus Fixed Fee,N,31/05/2012,31/07/2016,N
020-000010126,401,20,Environmental Protection Agency,,,,,
020-000015010,402,20,Environmental Protection Agency,,,,,
020-000013015,412,20,Environmental Protection Agency,,,,,
020-000020201,413,20,Environmental Protection Agency,,,,,
020-000020201,413,20,Environmental Protection Agency,,,,,
020-000020201,413,20,Environmental Protection Agency,,,,,
020-000020201,413,20,Environmental Protection Agency,,,,,
020-999990060,414,20,Environmental Protection Agency,,N,14/09/2015,13/09/2022,N
024-000003129,419,24,Department of Homeland Security,Labor Hours,N,24/09/2010,11/09/2015,N
024-000003129,419,24,Department of Homeland Security,Firm Fixed Price,N,03/08/2012,15/08/2015,N
024-000003129,419,24,Department of Homeland Security,Labor Hours,N,17/12/2013,08/04/2015,N
011-000001126,426,11,Department of Justice,,,,,
011-000001126,426,11,Department of Justice,,,,,
011-000002503,430,11,Department of Justice,,,,29/09/2012,
011-000002503,430,11,Department of Justice,,,,19/06/2014,
011-000002503,430,11,Department of Justice,,,,28/09/2019,
011-000002503,430,11,Department of Justice,,,,,
011-000003373,432,11,Department of Justice,,,,,
011-000003024,434,11,Department of Justice,,,,,
011-000003024,434,11,Department of Justice,,,,,
011-000003024,434,11,Department of Justice,,,,20/05/2018,
011-000003024,434,11,Department of Justice,,,,20/05/2016,
011-000003024,434,11,Department of Justice,,,,01/06/2018,
011-000003024,434,11,Department of Justice,,,,,
011-000003024,434,11,Department of Justice,,,,30/06/2017,
011-000003024,434,11,Department of Justice,,,,,
011-000002016,435,11,Department of Justice,,,,,
011-000002016,435,11,Department of Justice,,,,,
011-000002616,437,11,Department of Justice,,,,17/03/2014,
